operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,3,1,"(120, 1024, 1024)","(10, 1024, 1024)",1006632960,float64,0.7557144165039062
filtered_mean,3,1,"(120, 1024, 1024)","(10, 1024, 1024)",1006632960,float64,29.135220766067505
unfiltered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.8119709491729736
filtered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,30.836950540542603
unfiltered_mean,18,6,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,0.8230645656585693
filtered_mean,18,6,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,35.33465385437012
unfiltered_mean,27,9,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,1.0498130321502686
filtered_mean,27,9,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,45.31992697715759
unfiltered_mean,36,12,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.1238560676574707
filtered_mean,36,12,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,58.70344066619873
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.8421471118927002
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,33.507577419281006
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.7142646312713623
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,32.87206721305847
unfiltered_mean,18,2,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,0.8579156398773193
filtered_mean,18,2,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,38.851158142089844
unfiltered_mean,27,3,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,0.8910481929779053
filtered_mean,27,3,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,46.90444326400757
unfiltered_mean,36,4,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.0266392230987549
filtered_mean,36,4,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,60.178699254989624
unfiltered_mean,36,1,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.3818249702453613
filtered_mean,36,1,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,72.64225816726685
unfiltered_mean,36,1,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.128636121749878
filtered_mean,36,1,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,72.0321729183197
